"QUOTE_TRANSCRIPTION", "ANCHOR", "LENGTH", "EMOTION"
"dat maakte diepe indruk", "char-offset:7619", "length:23", "emotion:Ontzag"
"het was indrukwekkend", "char-offset:8079", "length:21", "emotion:Ontzag"
"en toen schrok toch je wel even, ja", "char-offset:12004", "length:35", "emotion:Angst"
"en ach, dan werd er weer later signaal alles veilig gegeven en dan was er niets gebeurd", "char-offset:15263", "length:87", "emotion:Onverschilligheid"
"Ja, dat was ook heel erg", "char-offset:18381", "length:24", "emotion:Empathie"
"Hoe reageerden uw ouders, waren die heel erg in paniek of ontdaan?", "char-offset:21922", "length:66", "emotion:Wanhoop"
"Oh, ik heb geen naald, ik heb geen garen, ik heb geen schaar, niks.", "char-offset:21731", "length:67", "emotion:Wanhoop"
"mijn moeder was natuurlijk wel overstuur", "char-offset:22255", "length:40", "emotion:Wanhoop"
"Was dat heel ingrijpend?", "char-offset:22468", "length:24", "emotion:Empathie"
"Ja,  dat was niet zo prettig", "char-offset:22718", "length:28", "emotion:Discomfort"
"Wat ook iets heel ergs was hoor", "char-offset:23852", "length:31", "emotion:Discomfort"
"Dus daar hoefde u niet echt bang van te zijn", "char-offset:24641", "length:44", "emotion:Angst"
"dat was een hele gemene vraag", "char-offset:25873", "length:29", "emotion:Verontwaardiging"
"Had hij er wel last van?", "char-offset:28309", "length:24", "emotion:?"
"Dus die emoties die zijn wat gezakt", "char-offset:28539", "length:35", "emotion:?"
"Daar was behoorlijk wat kwaadheid over?", "char-offset:32556", "length:39", "emotion:Boosheid"
"Ja dat was natuurlijk helemaal fout", "char-offset:32647", "length:35", "emotion:Verontwaardiging"
"Ja je was dan wel de dupe", "char-offset:32804", "length:25", "emotion:Gelatenheid"
"Een reuze vent hoor", "char-offset:33416", "length:19", "emotion:Genegenheid"
"Als u zelf de ellende bedenkt", "char-offset:34923", "length:29", "emotion:?"
"nou ja waarom dat op die manier heeft moeten gebeuren", "char-offset:35220", "length:53", "emotion:Gelatenheid"
"die was zo totaal over z’n toeren", "char-offset:36995", "length:33", "emotion:Angst, paniek"
"Heel merkwaardig", "char-offset:45908", "length:16", "emotion:Verbazing"
"Dat was heel triest", "char-offset:47171", "length:19", "emotion:Empathie"
"Lacht", "char-offset:703", "length:5", "emotion:Humor"
"U praat er over het algemeen erg kalm en rustig over", "char-offset:52889", "length:52", "emotion:Gelatenheid"
