"QUOTE_TRANSCRIPTION", "ANCHOR", "LENGTH", "EMOTION"
"Dat was míjn land", "char-offset:2680", "length:17", "emotion:Trots"
"Verheft stem", "char-offset:3295", "length:12", "emotion:Engagement"
"Glimlacht", "char-offset:4363", "length:9", "emotion:Humor (relativering)"
"Lichte stemverheffing", "char-offset:4731", "length:21", "emotion:Engagement"
"Maakt ferm gebaar", "char-offset:5774", "length:17", "emotion:Engagement"
"Onderbreekt", "char-offset:3651", "length:11", "emotion:Verontwaardiging"
"Volstrekt onzin", "char-offset:9142", "length:15", "emotion:Verontwaardiging"
"Lacht", "char-offset:4367", "length:5", "emotion:Humor (relativering)"
"Fronst", "char-offset:12532", "length:6", "emotion:Verontwaardiging"
"Glimlacht", "char-offset:4363", "length:9", "emotion:Opluchting"
"Ik vond het erg naar", "char-offset:14219", "length:20", "emotion:Schuldgevoel"
"Kijk, jullie denken altijd dat je vol emotie zit. Maar je zit vol deskundigheid op je vechtgebied.", "char-offset:15208", "length:98", "emotion:Verontwaardiging"
"Ik ben bang voor geweld", "char-offset:17185", "length:23", "emotion:Angst"
"Ik had er respect voor", "char-offset:17874", "length:22", "emotion:Respect"
"Schuld gevoel", "char-offset:18322", "length:13", "emotion:Schuldgevoel"
"Zat er een gevaar in", "char-offset:22160", "length:20", "emotion:Angst"
"Ik was veel te opgewonden", "char-offset:23042", "length:25", "emotion:Engagement"
"Haalt schouders op", "char-offset:30401", "length:18", "emotion:Onverschilligheid"
"blijft er een bedreiging in zitten", "char-offset:31211", "length:34", "emotion:Angst"
"Eenmaal vrij in Madrid", "char-offset:31425", "length:22", "emotion:Vrijheidsbesef"
"Daar voelde u zich pas vrij eigenlijk?", "char-offset:31478", "length:38", "emotion:Vrijheidsbesef"
"Voelde u zich doelgericht", "char-offset:31611", "length:25", "emotion:?"
"Of voelde u zich onzeker", "char-offset:31637", "length:24", "emotion:Twijfel"
"Niks onzeker!", "char-offset:31676", "length:13", "emotion:Verontwaardiging en trots"
"Glimlacht", "char-offset:4363", "length:9", "emotion:Onverschilligheid"
"Jazeker!", "char-offset:32637", "length:8", "emotion:Trots"
"Nou dat is levensgevaarlijk, echt levensgevaarlijk", "char-offset:33253", "length:50", "emotion:Verontwaardiging"
"Fronst", "char-offset:12532", "length:6", "emotion:Verontwaardiging"
"Wij waren behoorlijk boos natuurlijk", "char-offset:33566", "length:36", "emotion:Verontwaardiging"
"Behoorlijk boos", "char-offset:33576", "length:15", "emotion:Verontwaardiging"
"Uiteindelijk eindigt het met bluf", "char-offset:35965", "length:33", "emotion:Trots/Bravoure"
