"QUOTE_TRANSCRIPTION", "ANCHOR", "LENGTH", "EMOTION"
"Ik vond dat altijd heel erg", "char-offset:2864", "length:27", "emotion:Afkeer"
"Ik vond het een verschrikkelijke stank", "char-offset:3021", "length:38", "emotion:Afkeer"
"Dat was eigenlijk iets onprettigs", "char-offset:3123", "length:33", "emotion:Afkeer"
"Een heel lief kind", "char-offset:4469", "length:18", "emotion:Genegenheid"
"Wat ik ook jammer vind", "char-offset:5384", "length:22", "emotion:Empathie"
"Heb ik heel erg gevonden", "char-offset:5560", "length:24", "emotion:Empathie, afkeer"
"Maar ik heb nooit met plezier naar school gegaan. Echt.", "char-offset:8743", "length:55", "emotion:Afkeer"
"Een hoop liefde van uw moeders kant", "char-offset:9593", "length:35", "emotion:Liefde"
"Staan schreien met de handen voor de ogen", "char-offset:11081", "length:41", "emotion:Verdriet"
"Vol schrik. Vol schrik, want u wilt niet weten", "char-offset:14074", "length:46", "emotion:Angst"
"Dus nee, ik heb daar geen prettig gevoel van gehad", "char-offset:14267", "length:50", "emotion:Angst"
"Dat ging nog gemoedelijk toen", "char-offset:15591", "length:29", "emotion:Nostalgie"
"Het was heel gevaarlijk om te staken", "char-offset:19281", "length:36", "emotion:Angst"
"Dus we moesten wel", "char-offset:19553", "length:18", "emotion:Gelatenheid"
"Daar heb ik ook als de dood tegenaan gezien", "char-offset:20908", "length:43", "emotion:Angst"
"Ik ben met lood in de schoenen daarheen geweest", "char-offset:21154", "length:47", "emotion:Angst"
"Was er toen angst bij u in het dorp dat er iets zou gaan gebeuren", "char-offset:21926", "length:65", "emotion:Angst"
"Door de hele provincie was men angstig", "char-offset:22046", "length:38", "emotion:Angst"
"Mij kon niks gebeuren, ja", "char-offset:22398", "length:25", "emotion:Zelfverzekerdheid"
"Ja, wij wisten totaal niks. We wisten totaal niks", "char-offset:25243", "length:49", "emotion:Onzekerheid/onwetendheid"
"dat het toen fout zat", "char-offset:25342", "length:21", "emotion:Angst"
"Maar u wist op dat moment dus nog helemaal niet wat er zou gaan gebeuren", "char-offset:25601", "length:72", "emotion:Onzekerheid/onwetendheid"
"Helemaal niet. Helemaal niet", "char-offset:25679", "length:28", "emotion:Onzekerheid/onwetendheid"
"Ja, hoe voelde je je? Verschrikkelijk", "char-offset:27100", "length:37", "emotion:Ontzetting"
"Dat vergeet ik nooit, dat die ons allemaal wat heeft gerustgesteld", "char-offset:27329", "length:66", "emotion:Genegenheid"
"En dat gaf mij toch een klein beetje meer vertrouwen op een goede afloop", "char-offset:27426", "length:72", "emotion:Vertrouwen"
"Maar ja, in Amersfoort was het niet leuk", "char-offset:27515", "length:40", "emotion:Discomfort"
"Ongelooflijk", "char-offset:28276", "length:12", "emotion:Verwondering"
"Nee, gelukkig niet", "char-offset:30052", "length:18", "emotion:Opluchting"
"Ik wist me geen raad, zo’n pijn", "char-offset:30429", "length:31", "emotion:Wanhoop"
"dan was deze jongen wel weer zwaar de klos geweest", "char-offset:31271", "length:50", "emotion:Opluchting"
"Heeft u dat al die tijd nooit geweten?", "char-offset:31449", "length:38", "emotion:Onzekerheid/onwetendheid"
"Nee, nooit geweten. Nooit geweten", "char-offset:31492", "length:33", "emotion:Onzekerheid/onwetendheid"
"Daar had ik gelukkig geen problemen mee", "char-offset:34622", "length:39", "emotion:Opluchting"
"Onvoorstelbaar", "char-offset:35104", "length:14", "emotion:Verwondering"
"Dat moet wel heel verschrikkelijk zijn geweest", "char-offset:36321", "length:46", "emotion:Ontzetting"
"Als tirannen. Gewoon als tirannen. Normaal waren ze niet", "char-offset:36640", "length:56", "emotion:Boosheid"
"Nee. Het waren gewoon tirannen, ja", "char-offset:36713", "length:34", "emotion:Boosheid"
"En dat smaakte overheerlijk", "char-offset:38047", "length:27", "emotion:Gelukzaligheid"
"Dat was een festijn voor ons", "char-offset:38094", "length:28", "emotion:Gelukzaligheid"
"Wat het Rode Kruis voor ons heeft gedaan, dat is met geen geld en met geen goed te vergoeden.", "char-offset:38467", "length:93", "emotion:Dankbaarheid"
"Lacht", "char-offset:6400", "length:5", "emotion:Humor"
"En dat is ook heel typisch", "char-offset:39356", "length:26", "emotion:Verwondering"
"En ik vergeet het nooit weer", "char-offset:39550", "length:28", "emotion:Empathie (verdriet)"
"En dat is een heel naar gezicht", "char-offset:40741", "length:31", "emotion:Empathie, compassie"
"Dat is, ja, niet leuk", "char-offset:40874", "length:21", "emotion:Empathie, compassie"
"Nou ja, verder had je niets te willen", "char-offset:42865", "length:37", "emotion:Berusting"
"min iemand", "char-offset:43102", "length:10", "emotion:Afkeer, veroordeling"
"Want oh, grote wonder,", "char-offset:43638", "length:22", "emotion:Gelukzaligheid"
"Ik heb nog nooit zo iemand meegemaakt", "char-offset:45401", "length:37", "emotion:Genegenheid, dankbaarheid"
"Want die was te goed en die is weer naar het oostfront gestuurd", "char-offset:45552", "length:63", "emotion:Cynisme"
"Nou, dat waren ploerten", "char-offset:45693", "length:23", "emotion:Boosheid"
"Nou, dat is nog iets komisch, wat me overkomen is", "char-offset:46924", "length:49", "emotion:Humor"
"Lacht", "char-offset:6400", "length:5", "emotion:Humor"
"Dat was heel gemakkelijk werk voor mij", "char-offset:48819", "length:38", "emotion:Relativering"
"Oh, mein arme Küchen und mein Haus", "char-offset:50424", "length:34", "emotion:Angst, wanhoop"
"Ergens was het levensgevaarlijk", "char-offset:51835", "length:31", "emotion:Angst (gevaar)"
"Je kunt het geloven of niet", "char-offset:53846", "length:27", "emotion:Verwondering"
"Dat was heel bijzonder, denk ik", "char-offset:55036", "length:31", "emotion:Dankbaarheid"
"Ja, dat was heel bijzonder", "char-offset:55073", "length:26", "emotion:Dankbaarheid"
"Lacht", "char-offset:6400", "length:5", "emotion:Humor"
"in vrijheid naartoe gelopen", "char-offset:55501", "length:27", "emotion:Vrijheidsbesef"
"Lacht", "char-offset:6400", "length:5", "emotion:Humor"
"Dat was al ongehoord", "char-offset:57707", "length:20", "emotion:Verbazing"
"Oh, grote wonder", "char-offset:43643", "length:16", "emotion:Verbazing"
"Heb ik dat niet vertrouwd", "char-offset:58313", "length:25", "emotion:Wantrouwen"
"U wilt niet weten hoe lekker. Echt, het smaakt ons tot de tenen aan toe. Zo heerlijk", "char-offset:61906", "length:84", "emotion:Gelukzaligheid"
"Wordt emotioneel", "char-offset:62266", "length:16", "emotion:Blijdschap"
"En wij waren vrij", "char-offset:62329", "length:17", "emotion:Blijdschap"
"die dag, toen dacht ik: dit is het laatste. Nou ga ik dood.", "char-offset:63590", "length:59", "emotion:Angst?"
"Ik denk: Mens, ik ga dood", "char-offset:64055", "length:25", "emotion:Angst?"
"Moet je nagaan", "char-offset:24575", "length:14", "emotion:Verbazing"
"Koek me nou ‘s. Een landmien. Nou, daar hebben we zo’n eindje af gestaan met ons voorwiel.", "char-offset:68127", "length:90", "emotion:Relativering van gevaar"
"En ik was keihard geworden in dat jaar. Ik zei: niet schreien, we hebben vandaag feest.", "char-offset:71822", "length:87", "emotion:Blijdschap"
"Ook schreien. Ik zei: meid, niet schreien, we hebben vandaag feest", "char-offset:71956", "length:66", "emotion:Blijdschap"
"En toen kwam mijn moeder. En die was niet meer te houden.", "char-offset:72043", "length:57", "emotion:Blijdschap"
"Wordt emotioneel", "char-offset:62266", "length:16", "emotion:Blijdschap"
"maar ik vergeet het nooit weer. Vergeet het nooit weer.", "char-offset:72144", "length:55", "emotion:Blijdschap"
